Injured,MP,FG,FGA,FG%,2P,2PA,2P%,FT,FTA,TRB,AST,TOV,PTS,MP_total,PER,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,37.4,8.8,19.7,0.445,7.2,15,0.481,5.9,6.9,4.1,7.7,3.4,25,3026,23.5,0.241,0.348,3.2,6.4,38.7,1.5,1.3,32.2,8.3,4.8,13.1,0.208,6.3,0.5,6.8,6.7
1,37.5,10,18.9,0.531,9.1,16.5,0.556,6.2,8.1,7.9,6.2,3.4,27.1,2326,30.7,0.127,0.429,5,12.6,33.6,2.6,1.7,32,10,4.5,14.5,0.298,8.2,2.7,10.9,7.6
1,37.5,9.5,20.4,0.463,5.4,10.2,0.524,7,7.8,4.3,8,2.9,30,2474,26.9,0.5,0.384,1.4,6,34.4,1.3,0.8,30.3,10.9,0.7,11.6,0.225,8.3,-0.9,7.5,5.9
1,37.5,8.9,18.5,0.481,8.3,17,0.487,6.6,7.2,7.7,2.7,1.8,25,3039,22.9,0.081,0.392,3.1,11.7,13,1.2,2,28.8,8.4,3.9,12.3,0.194,3.7,0.5,4.2,4.7
1,37.5,6.7,14.6,0.457,5.2,10.8,0.48,5.7,6.8,5.6,3.6,2.8,20.5,3035,17.7,0.257,0.468,2.4,9.2,16.3,1.4,0.7,25.4,5.5,4.8,10.3,0.164,2.4,0.7,3.1,3.9
1,37.6,7.9,18.1,0.438,6.8,14.8,0.463,7,8.2,5.5,5.1,2.6,24,2447,23.7,0.184,0.452,4.7,8.3,24.4,2.4,0.8,29.1,7.8,3,10.7,0.21,5.1,0.5,5.6,4.7
1,37.6,8.5,18.6,0.456,6.2,13.1,0.474,4.9,6,10.2,6,3.4,24.1,2667,19.7,0.294,0.325,3.5,14.7,27.2,1.2,0.6,29.3,3.4,4.3,7.8,0.14,2.9,0.9,3.8,3.9
1,37.6,7.9,13.4,0.593,7.9,13.3,0.597,7,11.7,14.1,1.4,3.6,22.9,2935,26.1,0.007,0.877,12.6,21.8,6.8,1.9,4.9,27.2,6.7,7.7,14.4,0.235,2.9,2.4,5.3,5.4
1,37.6,6.2,14.9,0.419,4.1,8.9,0.457,2.8,3.5,7.6,4.1,2.9,17.4,2972,16.8,0.399,0.233,3.4,11.3,19.6,2.6,1.3,23.5,2.7,6.3,9,0.145,1.5,2.3,3.8,4.4
1,37.6,7.9,16.1,0.488,6.7,13,0.516,4.2,4.9,4,11.6,2.5,21.1,3006,28.3,0.193,0.302,2.4,6.2,52.2,3.9,0.1,25.7,13.2,4.6,17.8,0.284,7.2,3.2,10.4,9.3
